news_id,categoria,nombre_equipo
news10006,descartable,Goofy_Goobers
news10011,descartable,Goofy_Goobers
news10015,descartable,Goofy_Goobers
news10028,descartable,Goofy_Goobers
news10029,descartable,Goofy_Goobers
news10030,descartable,Goofy_Goobers
news10031,descartable,Goofy_Goobers
news10033,descartable,Goofy_Goobers
news10044,descartable,Goofy_Goobers
news10057,alianza,Goofy_Goobers
news10058,descartable,Goofy_Goobers
news10064,descartable,Goofy_Goobers
news10068,descartable,Goofy_Goobers
news10077,macroeconomía,Goofy_Goobers
news10080,descartable,Goofy_Goobers
news10086,descartable,Goofy_Goobers
news10088,descartable,Goofy_Goobers
news10090,alianza,Goofy_Goobers
news10103,descartable,Goofy_Goobers
news10105,descartable,Goofy_Goobers
news10106,descartable,Goofy_Goobers
news10107,macroeconomía,Goofy_Goobers
news10109,descartable,Goofy_Goobers
news10110,descartable,Goofy_Goobers
news10111,descartable,Goofy_Goobers
news10112,descartable,Goofy_Goobers
news10115,descartable,Goofy_Goobers
news10116,descartable,Goofy_Goobers
news10117,descartable,Goofy_Goobers
news10118,descartable,Goofy_Goobers
news10120,descartable,Goofy_Goobers
news10130,descartable,Goofy_Goobers
news10134,alianza,Goofy_Goobers
news10135,descartable,Goofy_Goobers
news10137,descartable,Goofy_Goobers
news10141,descartable,Goofy_Goobers
news10142,alianza,Goofy_Goobers
news10143,descartable,Goofy_Goobers
news10150,descartable,Goofy_Goobers
news10152,descartable,Goofy_Goobers
news10154,descartable,Goofy_Goobers
news10156,descartable,Goofy_Goobers
news10158,alianza,Goofy_Goobers
news10161,descartable,Goofy_Goobers
news10168,descartable,Goofy_Goobers
news10173,descartable,Goofy_Goobers
news10176,descartable,Goofy_Goobers
news10180,descartable,Goofy_Goobers
news10188,descartable,Goofy_Goobers
news10189,descartable,Goofy_Goobers
news10191,descartable,Goofy_Goobers
news10192,descartable,Goofy_Goobers
news10194,descartable,Goofy_Goobers
news10196,descartable,Goofy_Goobers
news10198,descartable,Goofy_Goobers
news10201,descartable,Goofy_Goobers
news10202,alianza,Goofy_Goobers
news10204,descartable,Goofy_Goobers
news10207,regulación,Goofy_Goobers
news10222,descartable,Goofy_Goobers
news10233,descartable,Goofy_Goobers
news10234,descartable,Goofy_Goobers
news10236,descartable,Goofy_Goobers
news10239,descartable,Goofy_Goobers
news10240,descartable,Goofy_Goobers
news10249,descartable,Goofy_Goobers
news10250,descartable,Goofy_Goobers
news10259,descartable,Goofy_Goobers
news10260,descartable,Goofy_Goobers
news10271,descartable,Goofy_Goobers
news10276,descartable,Goofy_Goobers
news10289,descartable,Goofy_Goobers
news10290,descartable,Goofy_Goobers
news10292,descartable,Goofy_Goobers
news10297,descartable,Goofy_Goobers
news10299,descartable,Goofy_Goobers
news10308,descartable,Goofy_Goobers
news10311,descartable,Goofy_Goobers
news10323,regulación,Goofy_Goobers
news10328,descartable,Goofy_Goobers
news10333,descartable,Goofy_Goobers
news10335,descartable,Goofy_Goobers
news10337,descartable,Goofy_Goobers
news10340,descartable,Goofy_Goobers
news10341,descartable,Goofy_Goobers
news10343,descartable,Goofy_Goobers
news10348,descartable,Goofy_Goobers
news10351,descartable,Goofy_Goobers
news10354,descartable,Goofy_Goobers
news10356,descartable,Goofy_Goobers
news10357,descartable,Goofy_Goobers
news10358,descartable,Goofy_Goobers
